use_no, field_name, old_value, new_value, error_id
1118392, LBS_PRD_USED, .0143, .0143, 33854
1118392, AMT_PRD_USED, 7840, 6.5048, 33854
2549762, LBS_PRD_USED, 4.0555, 4.0555, 70795
2549762, AMT_PRD_USED, 61.87, .4139, 70795
2549830, LBS_PRD_USED, 1.3695, 1.3695, 70796
2549830, AMT_PRD_USED, 20.89, .1398, 70796
2549831, LBS_PRD_USED, .1396, .1396, 70797
2549831, AMT_PRD_USED, 2.13, .0142, 70797
1593545, LBS_PRD_USED, .0186, .0186, 47679
1593545, AMT_PRD_USED, 6, .2976, 47679
1106670, LBS_PRD_USED, 1.6149, 1.6149, 33000
1106670, AMT_PRD_USED, 320, 23.0497, 33000
1158382, LBS_PRD_USED, .0031, .0031, 35151
1158382, AMT_PRD_USED, 17.9372, .0416, 35151
4015166, TOWNSHIP, 00, ?, 146276
4015170, RANGE, 00, ?, 146286
4015197, RANGE, 00, ?, 146296
4015200, TOWNSHIP, 00, ?, 146301
4015247, AMT_PRD_USED, 553875, .0283, 146318
4015247, RANGE, 00, ?, 146317
4015253, LBS_PRD_USED, .0001, .0001, 146321
4015258, TOWNSHIP, 00, ?, 146331
4015424, TOWNSHIP, 00, ?, 146339
4015459, TOWNSHIP, 00, ?, 146353
4015461, RANGE, 00, ?, 146358
1167397, LBS_PRD_USED, 1.6788, 1.6788, 35893
1167397, AMT_PRD_USED, 24.5, .7677, 35893
1167401, LBS_PRD_USED, 77.3399, 77.3399, 35895
1167401, AMT_PRD_USED, 912, 7.9179, 35895
4015493, TOWNSHIP, 00, ?, 146366
4015495, TOWNSHIP, 00, ?, 146370
4015496, TOWNSHIP, 00, ?, 146372
4015511, RANGE, 00, ?, 146393
4015538, TOWNSHIP, 00, ?, 146406
1161050, LBS_PRD_USED, .0005, .0005, 35207
1161050, AMT_PRD_USED, 12, .0079, 35207
1566741, ACRE_TREATED, .25, 3.54, 47313
3927373, LBS_PRD_USED, .0276, .0276, 123098
3927373, AMT_PRD_USED, 24, .3676, 123098
3927188, LBS_PRD_USED, .0027, .0027, 123091
3927188, AMT_PRD_USED, 6, .0356, 123091
3927403, LBS_PRD_USED, .043, .043, 123100
3927403, AMT_PRD_USED, 4, .5449, 123100
3928537, LBS_PRD_USED, .0102, .0102, 123170
3928537, AMT_PRD_USED, 6, .1461, 123170
3928548, LBS_PRD_USED, 11.5702, 11.5702, 123171
3928548, AMT_PRD_USED, 400, 11.5702, 123171
3927239, LBS_PRD_USED, 32.6705, 32.6705, 123092
3927239, AMT_PRD_USED, 75, 14.8192, 123092
1545027, LBS_PRD_USED, .0083, .0083, 46999
1545027, AMT_PRD_USED, 40.4601, .1101, 46999
1867583, ACRE_PLANTED, 4.5, 12.39, 54846
3927679, LBS_PRD_USED, .0344, .0344, 123112
3927679, AMT_PRD_USED, 8000, .551, 123112
3927682, LBS_PRD_USED, .4304, .4304, 123113
3927682, AMT_PRD_USED, 8000, 6.8871, 123113
3927683, LBS_PRD_USED, .4304, .4304, 123114
3927683, AMT_PRD_USED, 12000, 6.8871, 123114
3243250, SITE_CODE, 013001, -1, 90303
3243251, SITE_CODE, 013001, -1, 90304
3243252, SITE_CODE, 013001, -1, 90305
3243253, SITE_CODE, 013001, -1, 90306
3243254, SITE_CODE, 013001, -1, 90307
3243255, SITE_CODE, 013001, -1, 90308
3243256, SITE_CODE, 013001, -1, 90309
4029647, ACRE_PLANTED, 6, 9.85, 157168
4029649, ACRE_PLANTED, 6, 9.85, 157170
4029668, AMT_PRD_USED, .31, .0001, 157190
4029652, ACRE_PLANTED, 60, 66.47, 157173
4029672, LBS_PRD_USED, .0001, .0001, 157198
4029694, ACRE_PLANTED, 12.7, 12.9, 157223
4029679, ACRE_PLANTED, 11.8, 14.8, 157208
4029692, ACRE_PLANTED, 11.8, 12.7, 157221
4029700, UNIT_TREATED, A, S, 157229
4029702, AMT_PRD_USED, 48, .0001, 157234
4029710, UNIT_TREATED, A, S, 157245
4029732, ACRE_PLANTED, 11.5, 11.6, 157270
4029714, ACRE_PLANTED, 13, 14, 157252
4029725, ACRE_PLANTED, 10.1, 10.2, 157263
4029734, ACRE_PLANTED, 9, 9.1, 157272
4029735, ACRE_PLANTED, 9, 9.1, 157273
4029741, ACRE_PLANTED, 71.5, 74, 157279
4029744, ACRE_PLANTED, 71.5, 74, 157282
4029754, ACRE_PLANTED, 10, 10.2, 157292
281599, LBS_PRD_USED, .042, .042, 13900
281599, AMT_PRD_USED, 5.25, .6507, 13900
4030096, AMT_PRD_USED, 5.5, .0298, 157355
